cell_id,icp_type,query,lat,lng,zoom,priority
co-longmont-q3,adjacent,basement waterproofing,40.1672,-105.1019,13,P2
co-castle-rock-q1,foundation,foundation contractor,39.3722,-104.8561,13,P1
co-castle-rock-q9,adjacent,structural repair,39.3722,-104.8561,13,P2
mo-st-louis-q7,adjacent,mudjacking,38.627,-90.1994,13,P2
mo-kansas-city-mo-q5,adjacent,crawl space encapsulation,39.0997,-94.5786,13,P2
mo-springfield-mo-q3,adjacent,basement waterproofing,37.209,-93.2923,13,P2
mo-columbia-mo-q1,foundation,foundation contractor,38.9517,-92.3341,13,P1
mo-columbia-mo-q9,adjacent,structural repair,38.9517,-92.3341,13,P2
mo-joplin-q7,adjacent,mudjacking,37.0842,-94.5133,13,P2
mo-jefferson-city-q5,adjacent,crawl space encapsulation,38.5767,-92.1735,13,P2
mo-st-joseph-q3,adjacent,basement waterproofing,39.7675,-94.8467,13,P2
mo-cape-girardeau-q1,foundation,foundation contractor,37.3059,-89.5181,13,P1
mo-cape-girardeau-q9,adjacent,structural repair,37.3059,-89.5181,13,P2
mo-branson-q7,adjacent,mudjacking,36.6437,-93.2185,13,P2
la-new-orleans-q5,adjacent,crawl space encapsulation,29.9511,-90.0715,13,P2
la-baton-rouge-q3,adjacent,basement waterproofing,30.4515,-91.1871,13,P2
la-shreveport-q1,foundation,foundation contractor,32.5252,-93.7502,13,P1
la-shreveport-q9,adjacent,structural repair,32.5252,-93.7502,13,P2
la-lafayette-la-q7,adjacent,mudjacking,30.2241,-92.0198,13,P2
la-lake-charles-q5,adjacent,crawl space encapsulation,30.2266,-93.2174,13,P2
la-monroe-la-q3,adjacent,basement waterproofing,32.5093,-92.1193,13,P2
la-alexandria-la-q1,foundation,foundation contractor,31.3113,-92.4451,13,P1
la-alexandria-la-q9,adjacent,structural repair,31.3113,-92.4451,13,P2
la-houma-q7,adjacent,mudjacking,29.5958,-90.7195,13,P2
la-slidell-covington-q5,adjacent,crawl space encapsulation,30.2752,-89.7812,13,P2
ar-little-rock-q3,adjacent,basement waterproofing,34.7465,-92.2896,13,P2
ar-nw-arkansas-q1,foundation,foundation contractor,36.0626,-94.1574,13,P1
ar-nw-arkansas-q9,adjacent,structural repair,36.0626,-94.1574,13,P2
ar-fort-smith-q7,adjacent,mudjacking,35.3859,-94.3985,13,P2
ar-jonesboro-q5,adjacent,crawl space encapsulation,35.8423,-90.7043,13,P2
ar-conway-q3,adjacent,basement waterproofing,35.0887,-92.4421,13,P2
ar-hot-springs-q1,foundation,foundation contractor,34.5037,-93.0552,13,P1
ar-hot-springs-q9,adjacent,structural repair,34.5037,-93.0552,13,P2
ar-pine-bluff-q7,adjacent,mudjacking,34.2284,-92.0032,13,P2
ar-texarkana-q5,adjacent,crawl space encapsulation,33.4418,-94.0377,13,P2
ar-russellville-q3,adjacent,basement waterproofing,35.2784,-93.1338,13,P2
ok-oklahoma-city-q1,foundation,foundation contractor,35.4676,-97.5164,13,P1
ok-oklahoma-city-q9,adjacent,structural repair,35.4676,-97.5164,13,P2
ok-tulsa-q7,adjacent,mudjacking,36.154,-95.9928,13,P2
