cell_id,icp_type,query,lat,lng,zoom,priority
nsw-sydney-cbd-q0,foundation,underpinning,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q1,foundation,restumping,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q2,foundation,reblocking,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q3,foundation,foundation repair,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q4,foundation,house levelling,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q5,foundation,house relevelling,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q6,foundation,slab lifting,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q7,foundation,resin injection underpinning,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q8,foundation,subsidence repair,-33.8688,151.2093,13,P1
nsw-sydney-cbd-q9,adjacent,house raising,-33.8688,151.2093,13,P2
nsw-newcastle-q0,foundation,underpinning,-32.9283,151.7817,13,P1
nsw-newcastle-q1,foundation,restumping,-32.9283,151.7817,13,P1
nsw-newcastle-q2,foundation,reblocking,-32.9283,151.7817,13,P1
nsw-newcastle-q3,foundation,foundation repair,-32.9283,151.7817,13,P1
nsw-newcastle-q4,foundation,house levelling,-32.9283,151.7817,13,P1
nsw-newcastle-q5,foundation,house relevelling,-32.9283,151.7817,13,P1
nsw-newcastle-q6,foundation,slab lifting,-32.9283,151.7817,13,P1
nsw-newcastle-q7,foundation,resin injection underpinning,-32.9283,151.7817,13,P1
nsw-newcastle-q8,foundation,subsidence repair,-32.9283,151.7817,13,P1
nsw-newcastle-q9,adjacent,house raising,-32.9283,151.7817,13,P2
nsw-maitland-q0,foundation,underpinning,-32.7335,151.557,13,P1
nsw-maitland-q1,foundation,restumping,-32.7335,151.557,13,P1
nsw-maitland-q2,foundation,reblocking,-32.7335,151.557,13,P1
nsw-maitland-q3,foundation,foundation repair,-32.7335,151.557,13,P1
nsw-maitland-q4,foundation,house levelling,-32.7335,151.557,13,P1
nsw-maitland-q5,foundation,house relevelling,-32.7335,151.557,13,P1
nsw-maitland-q6,foundation,slab lifting,-32.7335,151.557,13,P1
nsw-maitland-q7,foundation,resin injection underpinning,-32.7335,151.557,13,P1
nsw-maitland-q8,foundation,subsidence repair,-32.7335,151.557,13,P1
nsw-maitland-q9,adjacent,house raising,-32.7335,151.557,13,P2
nsw-cessnock-q0,foundation,underpinning,-32.834,151.356,13,P1
nsw-cessnock-q1,foundation,restumping,-32.834,151.356,13,P1
nsw-cessnock-q2,foundation,reblocking,-32.834,151.356,13,P1
nsw-cessnock-q3,foundation,foundation repair,-32.834,151.356,13,P1
nsw-cessnock-q4,foundation,house levelling,-32.834,151.356,13,P1
nsw-cessnock-q5,foundation,house relevelling,-32.834,151.356,13,P1
nsw-cessnock-q6,foundation,slab lifting,-32.834,151.356,13,P1
nsw-cessnock-q7,foundation,resin injection underpinning,-32.834,151.356,13,P1
nsw-cessnock-q8,foundation,subsidence repair,-32.834,151.356,13,P1
nsw-cessnock-q9,adjacent,house raising,-32.834,151.356,13,P2
nsw-nelson-bay-q0,foundation,underpinning,-32.715,152.144,13,P1
nsw-nelson-bay-q1,foundation,restumping,-32.715,152.144,13,P1
nsw-nelson-bay-q2,foundation,reblocking,-32.715,152.144,13,P1
nsw-nelson-bay-q3,foundation,foundation repair,-32.715,152.144,13,P1
nsw-nelson-bay-q4,foundation,house levelling,-32.715,152.144,13,P1
nsw-nelson-bay-q5,foundation,house relevelling,-32.715,152.144,13,P1
nsw-nelson-bay-q6,foundation,slab lifting,-32.715,152.144,13,P1
nsw-nelson-bay-q7,foundation,resin injection underpinning,-32.715,152.144,13,P1
nsw-nelson-bay-q8,foundation,subsidence repair,-32.715,152.144,13,P1
nsw-nelson-bay-q9,adjacent,house raising,-32.715,152.144,13,P2
nsw-singleton-q0,foundation,underpinning,-32.567,151.169,13,P1
nsw-singleton-q1,foundation,restumping,-32.567,151.169,13,P1
nsw-singleton-q2,foundation,reblocking,-32.567,151.169,13,P1
nsw-singleton-q3,foundation,foundation repair,-32.567,151.169,13,P1
nsw-singleton-q4,foundation,house levelling,-32.567,151.169,13,P1
nsw-singleton-q5,foundation,house relevelling,-32.567,151.169,13,P1
nsw-singleton-q6,foundation,slab lifting,-32.567,151.169,13,P1
nsw-singleton-q7,foundation,resin injection underpinning,-32.567,151.169,13,P1
nsw-singleton-q8,foundation,subsidence repair,-32.567,151.169,13,P1
nsw-singleton-q9,adjacent,house raising,-32.567,151.169,13,P2
nsw-muswellbrook-q0,foundation,underpinning,-32.265,150.89,13,P1
nsw-muswellbrook-q1,foundation,restumping,-32.265,150.89,13,P1
nsw-muswellbrook-q2,foundation,reblocking,-32.265,150.89,13,P1
nsw-muswellbrook-q3,foundation,foundation repair,-32.265,150.89,13,P1
nsw-muswellbrook-q4,foundation,house levelling,-32.265,150.89,13,P1
nsw-muswellbrook-q5,foundation,house relevelling,-32.265,150.89,13,P1
nsw-muswellbrook-q6,foundation,slab lifting,-32.265,150.89,13,P1
nsw-muswellbrook-q7,foundation,resin injection underpinning,-32.265,150.89,13,P1
nsw-muswellbrook-q8,foundation,subsidence repair,-32.265,150.89,13,P1
nsw-muswellbrook-q9,adjacent,house raising,-32.265,150.89,13,P2
nsw-gosford-central-coast-q0,foundation,underpinning,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q1,foundation,restumping,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q2,foundation,reblocking,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q3,foundation,foundation repair,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q4,foundation,house levelling,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q5,foundation,house relevelling,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q6,foundation,slab lifting,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q7,foundation,resin injection underpinning,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q8,foundation,subsidence repair,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q9,adjacent,house raising,-33.4269,151.3417,13,P2
nsw-wollongong-q0,foundation,underpinning,-34.4278,150.8931,13,P1
nsw-wollongong-q1,foundation,restumping,-34.4278,150.8931,13,P1
nsw-wollongong-q2,foundation,reblocking,-34.4278,150.8931,13,P1
nsw-wollongong-q3,foundation,foundation repair,-34.4278,150.8931,13,P1
nsw-wollongong-q4,foundation,house levelling,-34.4278,150.8931,13,P1
