cell_id,icp_type,query,lat,lng,zoom,priority
ak-anchorage-q0,generator,generator installation,61.1743,-149.2843,13,P1
ak-anchorage-q1,generator,generator dealer,61.1743,-149.2843,13,P1
ak-anchorage-q2,generator,standby generator installer,61.1743,-149.2843,13,P1
ak-anchorage-q3,generator,Generac dealer,61.1743,-149.2843,13,P2
ak-anchorage-q4,generator,generator shop,61.1743,-149.2843,13,P2
ak-fairbanks-q0,generator,generator installation,64.8365,-147.6517,13,P1
ak-fairbanks-q1,generator,generator dealer,64.8365,-147.6517,13,P1
ak-fairbanks-q2,generator,standby generator installer,64.8365,-147.6517,13,P1
ak-fairbanks-q3,generator,Generac dealer,64.8365,-147.6517,13,P2
ak-fairbanks-q4,generator,generator shop,64.8365,-147.6517,13,P2
ak-juneau-q0,generator,generator installation,58.3729,-134.1784,13,P1
ak-juneau-q1,generator,generator dealer,58.3729,-134.1784,13,P1
ak-juneau-q2,generator,standby generator installer,58.3729,-134.1784,13,P1
ak-juneau-q3,generator,Generac dealer,58.3729,-134.1784,13,P2
ak-juneau-q4,generator,generator shop,58.3729,-134.1784,13,P2
ak-sitka-city-and-q0,generator,generator installation,57.1932,-135.3674,13,P1
ak-sitka-city-and-q1,generator,generator dealer,57.1932,-135.3674,13,P1
ak-sitka-city-and-q2,generator,standby generator installer,57.1932,-135.3674,13,P1
ak-sitka-city-and-q3,generator,Generac dealer,57.1932,-135.3674,13,P2
ak-sitka-city-and-q4,generator,generator shop,57.1932,-135.3674,13,P2
ak-ketchikan-q0,generator,generator installation,55.3571,-131.6746,13,P1
ak-ketchikan-q1,generator,generator dealer,55.3571,-131.6746,13,P1
ak-ketchikan-q2,generator,standby generator installer,55.3571,-131.6746,13,P1
ak-ketchikan-q3,generator,Generac dealer,55.3571,-131.6746,13,P2
ak-ketchikan-q4,generator,generator shop,55.3571,-131.6746,13,P2
ak-kenai-q0,generator,generator installation,60.5622,-151.2081,13,P1
ak-kenai-q1,generator,generator dealer,60.5622,-151.2081,13,P1
ak-kenai-q2,generator,standby generator installer,60.5622,-151.2081,13,P1
ak-kenai-q3,generator,Generac dealer,60.5622,-151.2081,13,P2
ak-kenai-q4,generator,generator shop,60.5622,-151.2081,13,P2
ak-bethel-q0,generator,generator installation,60.7939,-161.7959,13,P1
ak-bethel-q1,generator,generator dealer,60.7939,-161.7959,13,P1
ak-bethel-q2,generator,standby generator installer,60.7939,-161.7959,13,P1
ak-bethel-q3,generator,Generac dealer,60.7939,-161.7959,13,P2
ak-bethel-q4,generator,generator shop,60.7939,-161.7959,13,P2
ak-kodiak-q0,generator,generator installation,57.7912,-152.4197,13,P1
ak-kodiak-q1,generator,generator dealer,57.7912,-152.4197,13,P1
ak-kodiak-q2,generator,standby generator installer,57.7912,-152.4197,13,P1
ak-kodiak-q3,generator,Generac dealer,57.7912,-152.4197,13,P2
