cell_id,icp_type,query,lat,lng,zoom,priority
tx-houston-q0,foundation,foundation repair,29.7604,-95.3698,13,P1
tx-houston-q1,foundation,foundation contractor,29.7604,-95.3698,13,P1
tx-houston-q2,foundation,foundation repair company,29.7604,-95.3698,13,P1
tx-houston-q3,adjacent,basement waterproofing,29.7604,-95.3698,13,P2
tx-houston-q4,adjacent,crawl space repair,29.7604,-95.3698,13,P2
tx-houston-q5,adjacent,crawl space encapsulation,29.7604,-95.3698,13,P2
tx-houston-q6,adjacent,concrete leveling,29.7604,-95.3698,13,P2
tx-houston-q7,adjacent,mudjacking,29.7604,-95.3698,13,P2
tx-houston-q8,adjacent,house leveling,29.7604,-95.3698,13,P2
tx-houston-q9,adjacent,structural repair,29.7604,-95.3698,13,P2
tx-dallas-q0,foundation,foundation repair,32.7767,-96.797,13,P1
tx-dallas-q1,foundation,foundation contractor,32.7767,-96.797,13,P1
tx-dallas-q2,foundation,foundation repair company,32.7767,-96.797,13,P1
tx-dallas-q3,adjacent,basement waterproofing,32.7767,-96.797,13,P2
tx-dallas-q4,adjacent,crawl space repair,32.7767,-96.797,13,P2
tx-dallas-q5,adjacent,crawl space encapsulation,32.7767,-96.797,13,P2
tx-dallas-q6,adjacent,concrete leveling,32.7767,-96.797,13,P2
tx-dallas-q7,adjacent,mudjacking,32.7767,-96.797,13,P2
tx-dallas-q8,adjacent,house leveling,32.7767,-96.797,13,P2
tx-dallas-q9,adjacent,structural repair,32.7767,-96.797,13,P2
tx-fort-worth-q0,foundation,foundation repair,32.7555,-97.3308,13,P1
tx-fort-worth-q1,foundation,foundation contractor,32.7555,-97.3308,13,P1
tx-fort-worth-q2,foundation,foundation repair company,32.7555,-97.3308,13,P1
tx-fort-worth-q3,adjacent,basement waterproofing,32.7555,-97.3308,13,P2
tx-fort-worth-q4,adjacent,crawl space repair,32.7555,-97.3308,13,P2
tx-fort-worth-q5,adjacent,crawl space encapsulation,32.7555,-97.3308,13,P2
tx-fort-worth-q6,adjacent,concrete leveling,32.7555,-97.3308,13,P2
tx-fort-worth-q7,adjacent,mudjacking,32.7555,-97.3308,13,P2
tx-fort-worth-q8,adjacent,house leveling,32.7555,-97.3308,13,P2
tx-fort-worth-q9,adjacent,structural repair,32.7555,-97.3308,13,P2
tx-san-antonio-q0,foundation,foundation repair,29.4241,-98.4936,13,P1
tx-san-antonio-q1,foundation,foundation contractor,29.4241,-98.4936,13,P1
tx-san-antonio-q2,foundation,foundation repair company,29.4241,-98.4936,13,P1
tx-san-antonio-q3,adjacent,basement waterproofing,29.4241,-98.4936,13,P2
tx-san-antonio-q4,adjacent,crawl space repair,29.4241,-98.4936,13,P2
tx-san-antonio-q5,adjacent,crawl space encapsulation,29.4241,-98.4936,13,P2
tx-san-antonio-q6,adjacent,concrete leveling,29.4241,-98.4936,13,P2
tx-san-antonio-q7,adjacent,mudjacking,29.4241,-98.4936,13,P2
tx-san-antonio-q8,adjacent,house leveling,29.4241,-98.4936,13,P2
tx-san-antonio-q9,adjacent,structural repair,29.4241,-98.4936,13,P2
tx-austin-q0,foundation,foundation repair,30.2672,-97.7431,13,P1
tx-austin-q1,foundation,foundation contractor,30.2672,-97.7431,13,P1
tx-austin-q2,foundation,foundation repair company,30.2672,-97.7431,13,P1
tx-austin-q3,adjacent,basement waterproofing,30.2672,-97.7431,13,P2
tx-austin-q4,adjacent,crawl space repair,30.2672,-97.7431,13,P2
tx-austin-q5,adjacent,crawl space encapsulation,30.2672,-97.7431,13,P2
tx-austin-q6,adjacent,concrete leveling,30.2672,-97.7431,13,P2
tx-austin-q7,adjacent,mudjacking,30.2672,-97.7431,13,P2
tx-austin-q8,adjacent,house leveling,30.2672,-97.7431,13,P2
tx-austin-q9,adjacent,structural repair,30.2672,-97.7431,13,P2
tx-el-paso-q0,foundation,foundation repair,31.7619,-106.485,13,P1
tx-el-paso-q1,foundation,foundation contractor,31.7619,-106.485,13,P1
tx-el-paso-q2,foundation,foundation repair company,31.7619,-106.485,13,P1
tx-el-paso-q3,adjacent,basement waterproofing,31.7619,-106.485,13,P2
tx-el-paso-q4,adjacent,crawl space repair,31.7619,-106.485,13,P2
tx-el-paso-q5,adjacent,crawl space encapsulation,31.7619,-106.485,13,P2
tx-el-paso-q6,adjacent,concrete leveling,31.7619,-106.485,13,P2
tx-el-paso-q7,adjacent,mudjacking,31.7619,-106.485,13,P2
tx-el-paso-q8,adjacent,house leveling,31.7619,-106.485,13,P2
tx-el-paso-q9,adjacent,structural repair,31.7619,-106.485,13,P2
tx-corpus-christi-q0,foundation,foundation repair,27.8006,-97.3964,13,P1
tx-corpus-christi-q1,foundation,foundation contractor,27.8006,-97.3964,13,P1
tx-corpus-christi-q2,foundation,foundation repair company,27.8006,-97.3964,13,P1
tx-corpus-christi-q3,adjacent,basement waterproofing,27.8006,-97.3964,13,P2
tx-corpus-christi-q4,adjacent,crawl space repair,27.8006,-97.3964,13,P2
tx-corpus-christi-q5,adjacent,crawl space encapsulation,27.8006,-97.3964,13,P2
tx-corpus-christi-q6,adjacent,concrete leveling,27.8006,-97.3964,13,P2
tx-corpus-christi-q7,adjacent,mudjacking,27.8006,-97.3964,13,P2
tx-corpus-christi-q8,adjacent,house leveling,27.8006,-97.3964,13,P2
tx-corpus-christi-q9,adjacent,structural repair,27.8006,-97.3964,13,P2
tx-lubbock-q0,foundation,foundation repair,33.5779,-101.8552,13,P1
tx-lubbock-q1,foundation,foundation contractor,33.5779,-101.8552,13,P1
tx-lubbock-q2,foundation,foundation repair company,33.5779,-101.8552,13,P1
tx-lubbock-q3,adjacent,basement waterproofing,33.5779,-101.8552,13,P2
tx-lubbock-q4,adjacent,crawl space repair,33.5779,-101.8552,13,P2
tx-lubbock-q5,adjacent,crawl space encapsulation,33.5779,-101.8552,13,P2
tx-lubbock-q6,adjacent,concrete leveling,33.5779,-101.8552,13,P2
tx-lubbock-q7,adjacent,mudjacking,33.5779,-101.8552,13,P2
tx-lubbock-q8,adjacent,house leveling,33.5779,-101.8552,13,P2
tx-lubbock-q9,adjacent,structural repair,33.5779,-101.8552,13,P2
tx-amarillo-q0,foundation,foundation repair,35.222,-101.8313,13,P1
tx-amarillo-q1,foundation,foundation contractor,35.222,-101.8313,13,P1
tx-amarillo-q2,foundation,foundation repair company,35.222,-101.8313,13,P1
tx-amarillo-q3,adjacent,basement waterproofing,35.222,-101.8313,13,P2
tx-amarillo-q4,adjacent,crawl space repair,35.222,-101.8313,13,P2
tx-amarillo-q5,adjacent,crawl space encapsulation,35.222,-101.8313,13,P2
tx-amarillo-q6,adjacent,concrete leveling,35.222,-101.8313,13,P2
tx-amarillo-q7,adjacent,mudjacking,35.222,-101.8313,13,P2
tx-amarillo-q8,adjacent,house leveling,35.222,-101.8313,13,P2
