cell_id,icp_type,query,lat,lng,zoom,priority
eng-london-centre-q0,foundation,underpinning,51.5074,-0.1278,13,P1
eng-london-centre-q1,foundation,subsidence repair,51.5074,-0.1278,13,P1
eng-london-centre-q2,foundation,structural repair,51.5074,-0.1278,13,P1
eng-london-centre-q3,foundation,foundation repair,51.5074,-0.1278,13,P1
eng-london-centre-q4,adjacent,damp proofing,51.5074,-0.1278,13,P2
eng-london-centre-q5,adjacent,basement waterproofing,51.5074,-0.1278,13,P2
eng-london-centre-q6,adjacent,structural waterproofing,51.5074,-0.1278,13,P2
eng-london-centre-q7,adjacent,cellar tanking,51.5074,-0.1278,13,P2
eng-london-centre-q8,adjacent,mini piling,51.5074,-0.1278,13,P2
eng-london-centre-q9,adjacent,wall tie replacement,51.5074,-0.1278,13,P2
eng-birmingham-q0,foundation,underpinning,52.4862,-1.8904,13,P1
eng-birmingham-q1,foundation,subsidence repair,52.4862,-1.8904,13,P1
eng-birmingham-q2,foundation,structural repair,52.4862,-1.8904,13,P1
eng-birmingham-q3,foundation,foundation repair,52.4862,-1.8904,13,P1
eng-birmingham-q4,adjacent,damp proofing,52.4862,-1.8904,13,P2
eng-birmingham-q5,adjacent,basement waterproofing,52.4862,-1.8904,13,P2
eng-birmingham-q6,adjacent,structural waterproofing,52.4862,-1.8904,13,P2
eng-birmingham-q7,adjacent,cellar tanking,52.4862,-1.8904,13,P2
eng-birmingham-q8,adjacent,mini piling,52.4862,-1.8904,13,P2
eng-birmingham-q9,adjacent,wall tie replacement,52.4862,-1.8904,13,P2
eng-wolverhampton-q0,foundation,underpinning,52.5862,-2.1288,13,P1
eng-wolverhampton-q1,foundation,subsidence repair,52.5862,-2.1288,13,P1
eng-wolverhampton-q2,foundation,structural repair,52.5862,-2.1288,13,P1
eng-wolverhampton-q3,foundation,foundation repair,52.5862,-2.1288,13,P1
eng-wolverhampton-q4,adjacent,damp proofing,52.5862,-2.1288,13,P2
eng-wolverhampton-q5,adjacent,basement waterproofing,52.5862,-2.1288,13,P2
eng-wolverhampton-q6,adjacent,structural waterproofing,52.5862,-2.1288,13,P2
eng-wolverhampton-q7,adjacent,cellar tanking,52.5862,-2.1288,13,P2
eng-wolverhampton-q8,adjacent,mini piling,52.5862,-2.1288,13,P2
